文件名,歌名,语种,总歌手,歌手1,歌手2,歌手3,歌手4,性别1,性别2,性别3,性别4,原唱,伴奏,版本
C2012100792,BACKTRACK,英语,REBECCA FERGUSON,REBECCA FERGUSON,,,,女,,,,2,1,1
C2012100793,CANDY,英语,ROBBIE WILLIAMS,ROBBIE WILLIAMS,,,,男,,,,2,1,1
G201209004,店小二,国语,SHE,SHE,,,,合,,,,R,L,1
G201209006,刀剑如梦,国语,董贞,董贞,,,,女,,,,1,2,2
G201209009,三角志,粤语,卢巧音,卢巧音,,,,女,,,,1,2,1
G201209010,三角志,粤语,卢巧音,卢巧音,,,,女,,,,1,2,3
G201209001,THANK YOU,英语,DIDO,DIDO,,,,女,,,,R,L,1
C2012090427,我知道你都知道,国语,薛之谦,薛之谦,,,,男,,,,2,1,11
C2012090863,秋蝉,国语,刘文正,刘文正,,,,男,,,,2,1,5
C2012100732,剪爱,国语,方炯镔,方炯镔,,,,男,,,,2,1,1
G201209105,江南STYLE[恶搞婚礼版],国语,PSY,PSY,,,,男,,,,1,2,19
C2012080367,闯码头,国语,大哲,大哲,,,,男,,,,2,1,1
HAN201206011,那些年,国语,胡夏,胡夏,,,,男,,,,1,2,4
G201208227,雪の华,日语,中岛美嘉,中岛美嘉,,,,女,,,,1,2,1
G201208217,INETERNATIONL LOVE,英语,PITBULL^CHRIS BROWN,PITBULL,CHRIS BROWN,,,男,男,,,1,2,1
G201208224,问情,国语,江淑娜,江淑娜,,,,女,,,,R,L,1
G201208225,青苹果乐园,国语,小虎队,小虎队,,,,合,,,,0,2,1
HAN201204685,我,国语,冷漠,冷漠,,,,男,,,,1,2,11
WAN201203042,LIFE IS WONDERFUL,英语,JASON MRAZ,JASON MRAZ,,,,男,,,,2,1,1
G201208237,泪そうそう,日语,夏川りみ,夏川りみ,,,,女,,,,R,L,1
G201208195,I JUST HAD SEX,英语,AKON^THE LONELY ISLAND,AKON,THE LONELY ISLAND,,,男,合,,,1,2,1
G201208201,BEAUTIFUL,英语,BRITNEY SPEARS,BRITNEY SPEARS,,,,女,,,,1,2,3
HAN201204103,BAD,英语,MICHAEL JACKSON,MICHAEL JACKSON,,,,男,,,,1,2,1
G201208062,GHOST,英语,MICHAEL JACKSON,MICHAEL JACKSON,,,,男,,,,1,2,1
G201208068,NOBODY,日语,WONDER GIRLS,WONDER GIRLS,,,,合,,,,1,2,1
G201208084,默默无语,韩语,张根硕,张根硕,,,,男,,,,1,2,1
G201208085,ワイルドアットハートと,日语,岚,岚,,,,合,,,,1,2,1
G201208090,DNA,英语,BY2,BY2,,,,合,,,,1,2,1
G201208091,I SURRENDER,英语,CELINE DION,CELINE DION,,,,女,,,,R,L,3
G201208109,红尘情歌,国语,高安^黑鸭子,高安,黑鸭子,,,男,合,,,1,2,1
G201208122,那些年,粤语,刘俊宇,刘俊宇,,,,男,,,,1,2,1
MA201206650,诱,国语,林宥嘉,林宥嘉,,,,男,,,,1,2,1
HAN201204632,问,国语,梁静茹,梁静茹,,,,女,,,,1,2,3
HAN201204635,LOVE U U,国语,林俊杰,林俊杰,,,,男,,,,1,2,1
HAN201204637,不存在的情人,国语,林俊杰,林俊杰,,,,男,,,,1,2,1
HAN201204638,故事细腻,国语,林俊杰,林俊杰,,,,男,,,,1,2,1
HAN201204640,那些你很冒险的梦,国语,林俊杰,林俊杰,,,,男,,,,1,2,1
HAN201204641,学不会,国语,林俊杰,林俊杰,,,,男,,,,1,2,1
HAN201204642,一枝独秀,国语,罗志祥,罗志祥,,,,男,,,,1,2,1
HAN201204643,VENUS,韩语,神话,神话,,,,合,,,,1,2,1
HAN201204646,AYO,国语,温岚,温岚,,,,女,,,,1,2,1
HAN201204647,白蛇传,国语,萧敬腾,萧敬腾,,,,男,,,,1,2,3
HAN201204649,表白,国语,萧亚轩,萧亚轩,,,,女,,,,1,2,1
HAN201204651,第一夫人,国语,张杰,张杰,,,,男,,,,1,2,3
HAN201204652,大胆,国语,张靓颖,张靓颖,,,,女,,,,1,2,1
HAN201204653,改变,国语,张靓颖,张靓颖,,,,女,,,,1,2,1
HAN201204656,无法言喻,国语,张靓颖,张靓颖,,,,女,,,,1,2,1
CHI201206508,BURN IT DOWN,英语,LINKIN PARK,LINKIN PARK,,,,合,,,,1,2,1
CHI201206442,海上的月亮,国语,李宇春,李宇春,,,,女,,,,2,1,1
CHI201206463,痛痒,国语,林凡,林凡,,,,女,,,,2,1,1
CHI201206477,晚秋,国语,汤唯,汤唯,,,,女,,,,2,1,4
HAN201204659,对嘴,国语,周笔畅,周笔畅,,,,女,,,,1,2,1
HAN201204661,MINE MINE,国语,周杰伦,周杰伦,,,,男,,,,1,2,1
HAN201204662,稻香,国语,周杰伦,周杰伦,,,,男,,,,1,2,1
HAN201204663,公主病,国语,周杰伦,周杰伦,,,,男,,,,1,2,1
HAN201204664,世界未末日,国语,周杰伦,周杰伦,,,,男,,,,1,2,1
HAN201204669,最冷一天,国语,陈奕迅,陈奕迅,,,,男,,,,R,L,11
HAN201204104,BEAT IT,英语,MICHAEL JACKSON,MICHAEL JACKSON,,,,男,,,,1,2,1
HAN201204105,BILLIE JEAN,英语,MICHAEL JACKSON,MICHAEL JACKSON,,,,男,,,,1,2,1
CHI201204031,雨花石,国语,李玉刚^石头,李玉刚,石头,,,男,男,,,2,1,1
WAN201203043,THE WORLD AS I SEE IT,英语,JASON MRAZ,JASON MRAZ,,,,男,,,,2,1,1
HAN201204613,好不容易,国语,方大同,方大同,,,,男,,,,1,2,1
HAN201204614,让爱重生,国语,F.I.R,F.I.R,,,,合,,,,1,2,1
HAN201204616,女皇,国语,韩庚,韩庚,,,,男,,,,1,2,1
HAN201204620,希望,国语,何洁,何洁,,,,女,,,,1,2,1
HAN201204622,燃点,国语,胡夏,胡夏,,,,男,,,,1,2,1
HAN201204625,该放手了,国语,黄小琥,黄小琥,,,,女,,,,1,2,1
HAN201204627,愈爱愈明白,国语,黄小琥,黄小琥,,,,女,,,,1,2,1
HAN201204629,星月神话,国语,金莎,金莎,,,,女,,,,1,2,1
HAN201204631,大火,国语,李佳薇,李佳薇,,,,女,,,,1,2,1
HAN201204582,不是故意,国语,BY2,BY2,,,,合,,,,1,2,1
HAN201204583,一样爱着你,国语,BY2,BY2,,,,合,,,,1,2,1
HAN201204584,有没有,国语,BY2,BY2,,,,合,,,,1,2,1
HAN201204586,坏女孩,国语,陈嘉桦,陈嘉桦,,,,女,,,,1,2,1
HAN201204587,HISTORY,韩语,EXO-K,EXO-K,,,,合,,,,1,2,1
HAN201204591,BAD GIRL GOOD GIRL,韩语,MISS A,MISS A,,,,合,,,,1,2,1
HAN201204592,GOODBYE BABY,韩语,MISS A,MISS A,,,,合,,,,1,2,1
HAN201204593,TOUCH,韩语,MISS A,MISS A,,,,合,,,,1,2,1
HAN201204594,FACE,韩语,NU'EST,NU'EST,,,,合,,,,1,2,1
HAN201204597,爱很美,国语,SARA^刘佳,SARA,刘佳,,,女,男,,,1,2,1
HAN201204598,SHERLOCK,韩语,SHINEE,SHINEE,,,,合,,,,1,2,1
HAN201204605,七上八下,国语,蔡依林,蔡依林,,,,女,,,,1,2,1
HAN201204606,玩爱之徒,国语,蔡依林,蔡依林,,,,女,,,,1,2,1
HAN201204607,无言以对,国语,蔡依林,蔡依林,,,,女,,,,1,2,1
GUO201204014,怎么舍得你,粤语,张学友,张学友,,,,男,,,,1,2,3
WAN201204039,50 WAYS TO SAY GOODBYE,英语,TRAIN,TRAIN,,,,合,,,,2,1,1
CHI201204048,FISH,英语,CRAIG CAMPBELL,CRAIG CAMPBELL,,,,男,,,,2,1,1
CHI201204051,COLLIDE,英语,KID ROCK,KID ROCK,,,,男,,,,2,1,1
CHI201204058,ADOLESCENTS,英语,INCUBUS,INCUBUS,,,,男,,,,2,1,1
CHI201204061,BOYS BOYS BOYS,英语,LADY GAGA,LADY GAGA,,,,女,,,,2,1,3
CHI201204063,MONSTER,英语,LADY GAGA,LADY GAGA,,,,女,,,,2,1,3
CHI201204067,ELEPHANT,英语,ALEXANDRA BURKE,ALEXANDRA BURKE,,,,女,,,,2,1,1
WAN201203049,CONDUCT,英语,THE CRANBERRIES,THE CRANBERRIES,,,,合,,,,2,1,1
WAN201203053,CLIMAX,英语,USHER,USHER,,,,男,,,,2,1,1
C2012080829,踮起脚尖爱,国语,洪佩瑜,洪佩瑜,,,,女,,,,2,1,4
MA201204076,隐形的翅膀,国语,易帆,易帆,,,,男,,,,1,2,2
MA201203790,瘾,国语,陈楚生,陈楚生,,,,男,,,,1,2,1
MA201203819,我真的受伤了,国语,王菀之,王菀之,,,,女,,,,1,2,3
CHI610163,梁山伯与朱丽叶,国语,卓文萱,卓文萱,,,,女,,,,2,1,1
CHI610114,红模仿,国语,周杰伦,周杰伦,,,,男,,,,2,1,1
HAN201103388,搜神记,粤语,容祖儿,容祖儿,,,,女,,,,1,2,3
CHI606236,颈歌金曲,粤语,古巨基,古巨基,,,,男,,,,2,1,1
CHI608080,GET HIGH,国语,F.I.R,F.I.R,,,,合,,,,2,1,1
CHI608214,今天妳要嫁给我,国语,陶喆^蔡依林,陶喆,蔡依林,,,男,女,,,2,1,1
CHI610162,爱X无限大,国语,元若蓝,元若蓝,,,,女,,,,2,1,1
HAN201103406,HELLO,英语,MARTIN SOLVEIG^DRAGONETTE,MARTIN SOLVEIG,DRAGONETTE,,,合,,,,1,2,1
HAN201103410,FORCA,英语,NELLY FURTADO,NELLY FURTADO,,,,女,,,,1,2,1
Ma800924,海恋,国语,邓丽君,邓丽君,,,,女,,,,R,L,1
HAN201112341,歌声不断酒不断DJ,国语,琪琪格,琪琪格,,,,女,,,,1,2,2
HAN201112342,那句话DJ,国语,琪琪格,琪琪格,,,,女,,,,1,2,2
MA201112589,18,粤语,邓紫棋,邓紫棋,,,,女,,,,1,2,3
MA201112590,A.I.N.Y,国语,邓紫棋,邓紫棋,,,,女,,,,1,2,3
MA201112592,DON'T STOP THE MUSIC,英语,邓紫棋,邓紫棋,,,,女,,,,1,2,3
HAN201112347,她,国语,羽泉,羽泉,,,,合,,,,1,2,1
HAN201112348,我的快乐,国语,元若蓝,元若蓝,,,,女,,,,1,2,4
HAN201112349,高飞,国语,张杰,张杰,,,,男,,,,1,2,6
Ma201103434,因为爱情,国语,陈奕迅,陈奕迅,,,,男,,,,1,2,1
Ma814257,怀念战友,国语,刘欢,刘欢,,,,男,,,,1,2,2
Ma809267,求佛,国语,誓言,誓言,,,,男,,,,1,2,1
HAN201104211,会跳舞的文艺青年,国语,李宇春,李宇春,,,,女,,,,1,2,1
HAN201104215,滚滚长江东逝水,国语,孟文豪,孟文豪,,,,男,,,,1,2,1
HAN201104219,只看见你,国语,炎亚纶,炎亚纶,,,,男,,,,1,2,1
Ma827469,情网,国语,张学友,张学友,,,,男,,,,R,L,3
CHI101543,走天涯,国语,降央卓玛,降央卓玛,,,,女,,,,2,1,
HAN201104399,MY LAST,英语,BIG SEAN^Chris Brown,BIG SEAN,CHRIS BROWN,,,男,男,,,1,2,1
HAN201104400,MEET ME HALFWAY,英语,Black Eyed Peas,Black Eyed Peas,,,,合,,,,1,2,1
HAN201104403,WITHOUT ME,英语,EMINEM,EMINEM,,,,男,,,,1,2,1
HAN201104404,HIT THE LIGHTS,英语,JAY SEAN^Lil Wayne,JAY SEAN,LIL WAYNE,,,男,男,,,1,2,1
HAN201103291,HERO,英语,CHAD KROEGER^JOSEY SCOTT,CHAD KROEGER,JOSEY SCOTT,,,男,,,,1,2,1
Ma201103248,见或不见,国语,何晟铭^香香,何晟铭,香香,,,男,女,,,1,2,1
Ma201103252,MORE,英语,USHER,USHER,,,,男,,,,1,2,1
Ma201103294,坏女孩,国语,徐良^小凌,徐良,小凌,,,男,女,,,1,2,1
Ma201103309,爱的供养,国语,何晟铭,何晟铭,,,,男,,,,1,2,1
Ma105227,醉红颜,国语,冷漠,冷漠,,,,男,,,,1,2,1
Ma201103332,放不下,国语,汪苏泷,汪苏泷,,,,男,,,,1,2,1
Ma201103333,苦笑,国语,汪苏泷,汪苏泷,,,,男,,,,1,2,1
Ma201103334,埋葬冬天,国语,汪苏泷^阿悄,汪苏泷,阿悄,,,男,男,,,1,2,1
Ma201103335,小星星,国语,汪苏泷,汪苏泷,,,,男,,,,1,2,2
Ma201103374,亲爱陌生人,国语,丁当,丁当,,,,女,,,,1,2,1
Ma201103375,雨花石,国语,李雨^石头,李雨,石头,,,女,男,,,1,2,2
CHI104032,当冬夜渐暖,国语,孙燕姿,孙燕姿,,,,女,,,,1,2,1
CHI60748,中华人民共和国国歌,国语,佚名,佚名,,,,合,,,,L,R,4
CHI61639,想你的365天,国语,李玟,李玟,,,,女,,,,L,R,1
CHI62826,鼓浪屿之波,国语,张暴默,张暴默,,,,女,,,,L,R,2
CHI507050,逍遥叹,国语,胡歌,胡歌,,,,男,,,,2,1,4
CHI511019,飞得更高,国语,汪峰,汪峰,,,,男,,,,R,L,1
CHI512100,24楼,国语,刘若英^杨坤,刘若英,杨坤,,,女,男,,,2,1,1
CHI702028,C大调,国语,张韶涵,张韶涵,,,,女,,,,2,1,1
CHI710192,K歌情人,国语,品冠^梁静茹,品冠,梁静茹,,,男,女,,,2,1,1
CHI710240,G大调的悲伤,国语,张靓颖,张靓颖,,,,女,,,,2,1,1
CHI802046,浏阳河2008,国语,周笔畅,周笔畅,,,,女,,,,2,1,1
CHI910054,纵贯线兄弟姊妹,国语,纵贯线,纵贯线,,,,合,,,,2,1,3
CHI910820,光明,国语,汪峰,汪峰,,,,男,,,,2,1,3
CHI910836,这条街,国语,冷漠^云菲菲,冷漠,云菲菲,,,男,,,,2,1,1
CHI911011,寂寞好了,国语,蔡旻佑,蔡旻佑,,,,男,,,,2,1,1
CHI911056,感同身受,国语,林宥嘉,林宥嘉,,,,男,,,,2,1,1
H2012090089,DEFYING GRAVITY,英语,GLEE CAST,GLEE CAST,,,,合,,,,1,2,1
C2012080349,放下,国语,张靓颖,张靓颖,,,,女,,,,2,1,3
G201209020,BREAKING THE HABIT,国语,LINKIN PARK,LINKIN PARK,,,,合,,,,1,2,9
G201209021,IN THE END,国语,LINKIN PARK,LINKIN PARK,,,,合,,,,R,L,1
G201209024,追,粤语,陈奕迅^张敬轩,陈奕迅,张敬轩,,,男,男,,,1,2,3
G201209027,新不了情,国语,谢安琪^梁文音,谢安琪,梁文音,,,女,女,,,1,2,3
M2012081447,FALLING,粤语,GIN LEE,GIN LEE,,,,女,,,,1,2,1
H201207994,情歌,国语,田馥甄,田馥甄,,,,女,,,,1,2,3
H2012090808,万有引力,国语,汪苏泷,汪苏泷,,,,男,,,,1,2,1
M2012081534,秋意浓,国语,张靓颖,张靓颖,,,,女,,,,1,2,2
M2012110344,有借有还,粤语,陈伟霆,陈伟霆,,,,男,,,,1,2,1
H2012091059,不吃早餐才是一件很嘻哈的事,国语,MC HOTDOG^蛋堡,MC HOTDOG,蛋堡,,,男,男,,,1,2,1
H2012091063,一路两个人,国语,梁静茹,梁静茹,,,,女,,,,1,2,1
H2012091083,狂草,国语,韩庚,韩庚,,,,男,,,,1,2,1
G201209093,TAKE A BOW,英语,MADONNA,MADONNA,,,,女,,,,1,2,1
G201209099,ONE NIGHT IN北京,国语,陈升,陈升,,,,男,,,,R,L,1
G201209097,心如刀割,国语,萧敬腾,萧敬腾,,,,男,,,,1,2,3
CHI809084,多希望妳在,国语,萧敬腾,萧敬腾,,,,男,,,,2,1,3
CHI810005,今晚你想念的人是不是我,国语,A-LIN,A-LIN,,,,女,,,,2,1,1
CHI810048,昨日情书,国语,梁静茹,梁静茹,,,,女,,,,2,1,3
CHI810152,爱丫爱丫,国语,BY2,BY2,,,,合,,,,2,1,1
CHI810527,北京北京,国语,郝云,郝云,,,,男,,,,2,1,1
CHI811147,612星球,国语,SHE,SHE,,,,合,,,,2,1,1
CHI811049,爱的城保,国语,卓文萱,卓文萱,,,,女,,,,2,1,1
CHI901117,鱼水情歌,国语,陈瑞^许强,陈瑞,许强,,,女,男,,,2,1,9
CHI904024,爱上你不如爱上海,国语,动力火车^林志炫,动力火车,林志炫,,,合,男,,,2,1,1
CHI904078,脚本,国语,王力宏,王力宏,,,,男,,,,2,1,1
CHI909819,在我心里有个你,国语,陈美惠,陈美惠,,,,女,,,,2,1,1
CHI910014,开门见山,国语,张惠妹,张惠妹,,,,女,,,,2,1,3
CHI910018,隐形纪念,国语,蔡淳佳,蔡淳佳,,,,女,,,,2,1,1
CHI910027,管他什么音乐,国语,范晓萱^100%乐团,范晓萱,100%乐团,,,女,合,,,2,1,1
CHI910034,这样的一个麻烦,国语,陈奕迅,陈奕迅,,,,男,,,,2,1,1
CHI912521,信仰在空中飘扬,国语,汪峰,汪峰,,,,男,,,,2,1,3
CHINM06860,姐 你睡了吗,国语,徐若瑄,徐若瑄,,,,女,,,,1,2,1
CHINM13642,DON'T STOP,国语,蔡依林,蔡依林,,,,女,,,,1,2,1
CHINM16075,怀念战友,国语,腾格尔,腾格尔,,,,男,,,,1,2,2
CHINM18020,爱我 你怕了吗?,国语,姜育恒^李翊君,姜育恒,李翊君,,,男,女,,,1,2,1
CHI102624,WHO DAT GIRL,英语,FLO RIDA,FLO RIDA,,,,男,,,,2,1,1
CHI102625,ROCKETEER,英语,FAR EAST MOVEMENT,FAR EAST MOVEMENT,,,,合,,,,2,1,1
CHI101872,天之大,国语,毛阿敏,毛阿敏,,,,女,,,,2,1,
CHI101873,此生不换,国语,青鸟飞鱼,青鸟飞鱼,,,,合,,,,2,1,
CHI101888,南泥湾,国语,杨紫萍,杨紫萍,,,,女,,,,2,1,
CHIWN03106,睛人的眼泪,国语,蔡琴,蔡琴,,,,女,,,,0,R,1
CHI404189,爱情36计,国语,蔡依林,蔡依林,,,,女,,,,R,L,1
CHI912083,第几个100天,国语,林俊杰,林俊杰,,,,男,,,,2,1,1
Ma818237,飞机场的10:30,国语,陶喆,陶喆,,,,男,,,,2,1,1
Ma818357,在你怀里的微笑,国语,杨丞琳,杨丞琳,,,,女,,,,1,2,3
Ma820268,改变1995,国语,黄舒骏,黄舒骏,,,,男,,,,1,2,1
Ma820788,叫你一声MY LOVE,国语,小虎队,小虎队,,,,合,,,,1,2,1
Ma820939,练习-下,国语,刘德华,刘德华,,,,男,,,,R,L,1
Ma820976,恋曲2000,国语,罗大佑,罗大佑,,,,男,,,,1,2,1
Ma822964,下个星期去英国,国语,陈绮贞,陈绮贞,,,,女,,,,1,2,1
Ma823876,哆啦A梦主题歌,国语,哆啦队,哆啦队,,,,合,,,,1,2,1
Ma824382,飞机场的10:30,国语,陶喆,陶喆,,,,男,,,,0,2,3
Ma801947,心的距离,国语,陈奕迅,陈奕迅,,,,男,,,,1,2,1
Ma100274,热辣辣+反斗星+头发乱了+好戏在后头,粤语,陈奕迅,陈奕迅,,,,男,,,,1,2,3
Ma101373,罪与罚,粤语,郑秀文^24HERBS,郑秀文,24HERBS,,,女,合,,,R,L,1
Ma801496,冰河时代IV,国语,佚名,佚名,,,,合,,,,L,R,1
Ma804037,高调爱,国语,罗志祥,罗志祥,,,,男,,,,1,2,3
Ma804072,给爱人,国语,萧敬腾,萧敬腾,,,,男,,,,1,2,1
Ma814357,寂寞暴走,国语,飞轮海,飞轮海,,,,合,,,,1,2,1
Ma817848,我完全没有任何理由理你,国语,王力宏,王力宏,,,,男,,,,1,2,1
Ma827808,放学歌,国语,佚名,佚名,,,,合,,,,0,2,1
Ma829824,无与伦比的美丽,国语,苏打绿,苏打绿,,,,合,,,,1,2,1
Ma847364,活着VIVA,粤语,谢霆锋,谢霆锋,,,,男,,,,1,2,1
Ma854018,恋爱ING,国语,五月天,五月天,,,,合,,,,1,2,1
Ma102131,可惜我是水瓶座+残酷游戏+谁愿放手+痛爱（2010红馆演唱会）,粤语,林峰^容祖儿,林峰,容祖儿,,,男,女,,,1,2,3
Ma102162,夫妻双双把家还,国语,吕珊^刘韵,吕珊,刘韵,,,女,,,,1,2,3
CHI103035,女人三十,国语,杨千嬅,杨千嬅,,,,女,,,,2,1,1
CHI103036,暮光,国语,范玮琪,范玮琪,,,,女,,,,2,1,1
CHI103829,我爱你胜过你爱我,国语,冷漠^杨小曼,冷漠,杨小曼,,,男,,,,2,1,1
CHI103830,我爱你胜过你爱我,国语,冷漠^杨小曼,冷漠,杨小曼,,,男,,,,2,1,9
CHI103033,美丽的误会,国语,罗志祥,罗志祥,,,,男,,,,2,1,1
CHI102628,ETERNAL FLAME,英语,ATOMIC KITTEN,ATOMIC KITTEN,,,,合,,,,2,1,1
CHI102629,ALIVE,英语,JENNIFER LOPEZ,JENNIFER LOPEZ,,,,女,,,,2,1,1
C2012090576,忘记拥抱,国语,潘玮柏,潘玮柏,,,,男,,,,2,1,1
CHI102633,MOMENT 4 LIFE,英语,NICKI MINAJ,NICKI MINAJ,,,,女,,,,2,1,1
CHI102634,HEY BABY,英语,PITBULL,PITBULL,,,,男,,,,2,1,1
CHI012082,寂寞不痛,国语,A-LIN,A-LIN,,,,女,,,,2,1,1
CHI101860,我很快乐,国语,刘惜君,刘惜君,,,,女,,,,2,1,
CHI101080,末班车,国语,萧煌奇,萧煌奇,,,,男,,,,2,1,1
CHI101671,BONFIRE,英语,CRAIG MORGAN,CRAIG MORGAN,,,,男,,,,2,1,1
CHI101721,YOUR SONG,英语,Ellie Goulding,Ellie Goulding,,,,女,,,,2,1,1
CHI101939,忐忑,国语,龚琳娜,龚琳娜,,,,女,,,,2,1,2
CHI101905,爱笑的眼睛,国语,林俊杰,林俊杰,,,,男,,,,2,1,
CHI101911,我愿意,国语,石佑诚,石佑诚,,,,男,,,,2,1,
CHI101918,客官不可以,国语,徐良^小凌,徐良,小凌,,,男,女,,,2,1,
CHI101558,坐上火车去拉萨,国语,徐千雅,徐千雅,,,,女,,,,2,1,
CHI101602,GRENADE,英语,BRUNO MARS,BRUNO MARS,,,,男,,,,2,1,1
CHI101609,EVERYTIME,英语,JANET JACKSON,JANET JACKSON,,,,女,,,,2,1,
CHI101611,PRAY,英语,JUSTIN BIEBER,JUSTIN BIEBER,,,,男,,,,2,1,
CHI101617,AEROSMITH,英语,PINK,PINK,,,,女,,,,2,1,
CHI101621,FEEL,英语,ROBBIE WILLIAMS,ROBBIE WILLIAMS,,,,男,,,,2,1,
CHI101630,FROM THIS MOMENT ON,英语,SHANIA TWAIN,SHANIA TWAIN,,,,女,,,,2,1,1
CHI101503,记得,国语,林俊杰,林俊杰,,,,男,,,,2,1,
Ma824445,天使与海豚,国语,梁咏琪,梁咏琪,,,,女,,,,2,1,1
CHI101809,一眼万年,国语,林俊杰,林俊杰,,,,男,,,,2,1,
CHI101823,莫斯科郊外的晚上,国语,李玉刚,李玉刚,,,,男,,,,2,1,2
CHI101534,父亲的草原母亲的河,国语,降央卓玛,降央卓玛,,,,女,,,,2,1,
CHI101536,呼伦贝尔大草原,国语,降央卓玛,降央卓玛,,,,女,,,,2,1,
CHI101537,美丽的草原我的家,国语,降央卓玛,降央卓玛,,,,女,,,,2,1,
CHI101538,陪你一起看草原,国语,降央卓玛,降央卓玛,,,,女,,,,2,1,
CHI101539,天边,国语,降央卓玛,降央卓玛,,,,女,,,,2,1,
CHI101540,我和草原有个约定,国语,降央卓玛,降央卓玛,,,,女,,,,2,1,
CHI101541,西海情歌,国语,降央卓玛,降央卓玛,,,,女,,,,2,1,
CHI101542,卓玛,国语,降央卓玛,降央卓玛,,,,女,,,,2,1,
53511,明明白白我的心,国语,郑少秋^赵雅芝,郑少秋,赵雅芝,,,男,女,,,L,R,3
813200A1,明明白白我的心,国语,黄子俊^郑妍妮,黄子俊,郑妍妮,,,男,,,,L,R,1
Ma810255,I BELIEVE,国语,陶喆,陶喆,,,,男,,,,1,2,
Ma829189,I BELIEVE,国语,萧亚轩,萧亚轩,,,,女,,,,1,2,
66335Y1,面具,国语,徐若瑄,徐若瑄,,,,女,,,,L,R,1
809119I1,面具,国语,安七炫,安七炫,,,,男,,,,L,R,1
50285Y,梦醒时分,国语,迪克牛仔,迪克牛仔,,,,男,,,,L,R,3
41562Y1,梦醒了,国语,袁惟仁,袁惟仁,,,,男,,,,L,R,1
51917Y,梦醒了,国语,王菲,王菲,,,,女,,,,L,R,3
802763L2,梦驼铃,国语,张明敏,张明敏,,,,男,,,,L,R,1
60160Y,梦驼铃,国语,费玉清,费玉清,,,,男,,,,L,R,11
43029Y1,换季,国语,A-LIN,A-LIN,,,,女,,,,L,R,1
43022Y1,落叶归根,国语,王力宏,王力宏,,,,男,,,,L,R,1
50118,给我一个吻,国语,叶丽仪,叶丽仪,,,,女,,,,L,R,2
DK20110130001,乡恋,国语,李谷一,李谷一,,,,女,,,,0,2,18
DK20110130002,千千阙歌,粤语,陈慧娴,陈慧娴,,,,女,,,,2,1,18
58555Y1,伦敦大桥垮下来,国语,SHE,SHE,,,,合,,,,L,R,3
50338Y,梦里水乡,国语,江珊,江珊,,,,女,,,,L,R,1
50274,蝴蝶泉边,国语,佚名,佚名,,,,合,,,,L,R,4
50365,好人好梦,国语,邰正宵^孙悦,邰正宵,孙悦,,,男,女,,,L,R,1
21155,16号爱人,粤语,容祖儿,容祖儿,,,,女,,,,L,R,1
